,author
«الاقتصادية» من الرياض,608
واس - الرياض,308
لندن: «الشرق الأوسط أونلاين»,245
الرياض - الوئام :,237
لندن: «الشرق الأوسط»,235
الرياض - واس,230
اليوم - الدمام,211
الرياض-الوئام:,184
الوئام - رويترز:,166
القاهرة: «الشرق الأوسط أونلاين»,146
واس - جدة,124
رويترز,121
متابعة - الرياض الإلكتروني,115
"""الاقتصادية"" من الرياض",113
الاقتصادية الإلكترونية من الرياض,108
الجزيرة - واس:,105
سبق- الرياض:,97
اليوم - الرياض,95
جدة - واس,85
أبها: الوطن,81
الرياض: «الشرق الأوسط أونلاين»,79
الرياض: واس,75
 عكاظ (جدة),73
المدينة - جدة,71
الرياض : واس,69
أبها - عبدالله الهاجري:,66
 عكاظ (الرياض),65
الجزيرة - المحليات:,65
الرياضي,63
الرياض: الوطن,62
جدة - واس:,58
الجزيرة - الرياض:,57
القاهرة - الجزيرة:,54
سبق- وكالات:,52
القاهرة - مكتب الجزيرة:,52
سبق- أبها:,50
 واس (جدة),48
محمد البيضاني - الباحة,48
القاهرة - مكتب الجزيرة - طارق محيي:,47
 أحمد الشميري (صنعاء),47
عبدالله البرقاوي- سبق- الرياض:,45
لندن - رويترز,41
الباحة - عبدالرحمن الغامدي,39
الأحساء: عدنان الغزال,38
عرعر - جاسر الصقري,38
الوئام - متابعات:,36
سبق- جدة:,36
واس - الدمام,35
 عبدالرحمن الحجاب (الرياض),35
 واس (الرياض),35
 سعاد الشمراني (الرياض),34
جدة: «الشرق الأوسط»,34
الوئام - وكالات :,33
 محمد داوود (جدة),33
لندن - د ب أ,33
واشنطن-الوئام:,33
صنعاء: محمد عبدالعظيم,32
الجزيرة - عبدالرحمن اليوسف:,32
جدة: واس,31
واس- الرياض:,31
الجزيرة - وهيب الوهيبي:,29
فهد عامر الأحمدي,29
صنعاء-الوئام:,29
جدة - الجزيرة:,29
واشنطن: محمد علي صالح,28
جدة - عبدالله الغامدي,28
الوئام - رويترز :,28
المدينة المنورة - صالح الحبيشي,28
أبها - مريم الجابر,28
الرياض: «الشرق الأوسط»,27
المدينة المنورة - مروان قصاص:,27
بغداد: حمزة مصطفى,27
المدينة المنورة: علي العمري,27
جدة-الوئام:,26
الجزيرة - أحمد القرني:,26
الأحساء - عايدة بنت صالح:,26
جدة - الوئام :,26
بيروت: «الشرق الأوسط»,26
رويترز - لندن,26
الوئام - يو بي اي:,26
أحمد علي- سبق- القاهرة:,25
عبدالله صايل,25
الرياض - أحمد غاوي,25
جعفر الصفار - القطيف,25
الرياض - عماد الصائغ,25
اليوم - جدة,25
الأحساء - عماد السلمان,25
 مسعد العضياني (الرياض),24
الطائف - عليان آل سعدان:,24
لندن-الوئام:,24
جدة - صالح الرويس,24
عادل الخنين من الرياض,24
 علي الرباعي (الباحة),24
واس - نجران,24
بروكسل: عبد الله مصطفى,24
عدن - الوئام :,23
الرياض - راشد السكران,23
واشنطن - رويترز,23
الرياض: بندر الوابصي,23
الأحساء - صادق الحرز:,23
القاهرة - سباعي إبراهيم,23
جدة : واس,22
تبوك - فائز التمامي:,22
المدينة المنورة - خالد الزايدي,22
عنيزة - فوزية النعيم:,22
القاهرة: «الشرق الأوسط»,22
منير أبوبشيت من الدمام,22
سبق- الدمام:,22
جدة: محمد باسنيد,22
ينبع - حامد الجهني:,22
أبها - يحيى الشبرقي,22
عبدالله الراجحي- سبق- جدة:,21
المدينة ـ جدة,21
كتب - علاء سعيد:,21
جدة: سامية العيسى,21
 عبدالله عمر خياط,21
كتب - عبدالله الحنيان:,21
واس - الباحة,21
